id,trial,tested_item_points,recallError,tested_SL,TL,TR,BL,BR,AOI,start,end,duration,entry_n,trial_period,exclude_pp,exclude_trial_phase7,AOI_value
Pri_ET_Study2_1,27,4,18,TL,4,1,2,3,TL,242,392,150,1,7,0,0,4
Pri_ET_Study2_1,27,4,18,TL,4,1,2,3,TR,442,608,166,2,7,0,0,1
Pri_ET_Study2_1,27,4,18,TL,4,1,2,3,BR,650,1141,491,3,7,0,0,3
Pri_ET_Study2_1,27,4,18,TL,4,1,2,3,BL,1191,1383,192,4,7,0,0,2
Pri_ET_Study2_1,27,4,18,TL,4,1,2,3,TR,1600,2008,408,5,7,0,0,1
Pri_ET_Study2_1,28,4,156,TR,3,4,2,1,TR,567,1017,450,1,7,0,0,4
Pri_ET_Study2_1,28,4,156,TR,3,4,2,1,TR,1384,1617,233,2,7,0,0,4
Pri_ET_Study2_1,28,4,156,TR,3,4,2,1,TL,1667,1834,167,3,7,0,0,3
Pri_ET_Study2_1,29,4,175,BL,3,2,4,1,TL,433,683,250,1,7,0,0,3
Pri_ET_Study2_1,29,4,175,BL,3,2,4,1,TR,725,1092,367,2,7,0,0,2
Pri_ET_Study2_1,29,4,175,BL,3,2,4,1,BL,1283,1558,275,3,7,0,0,4
Pri_ET_Study2_1,29,4,175,BL,3,2,4,1,BR,1592,1808,216,4,7,0,0,1
Pri_ET_Study2_1,29,4,175,BL,3,2,4,1,TR,1858,2008,150,5,7,0,0,2
Pri_ET_Study2_1,30,1,97,TL,1,3,2,4,TL,258,433,175,1,7,0,0,1
Pri_ET_Study2_1,30,1,97,TL,1,3,2,4,TR,466,916,450,2,7,0,0,3
Pri_ET_Study2_1,30,1,97,TL,1,3,2,4,BR,1250,1400,150,3,7,0,0,4
Pri_ET_Study2_1,30,1,97,TL,1,3,2,4,BL,1591,1966,375,4,7,0,0,2
Pri_ET_Study2_1,31,2,27,TL,2,3,1,4,TR,525,792,267,1,7,0,0,3
Pri_ET_Study2_1,31,2,27,TL,2,3,1,4,TR,1208,1575,367,2,7,0,0,3
Pri_ET_Study2_1,31,2,27,TL,2,3,1,4,TL,1617,1892,275,3,7,0,0,2
Pri_ET_Study2_1,32,4,84,TR,1,4,2,3,TL,0,250,250,1,7,0,0,1
Pri_ET_Study2_1,32,4,84,TR,1,4,2,3,TR,292,534,242,2,7,0,0,4
Pri_ET_Study2_1,32,4,84,TR,1,4,2,3,BR,675,967,292,3,7,0,0,3
Pri_ET_Study2_1,32,4,84,TR,1,4,2,3,TL,1192,1342,150,4,7,0,0,1
Pri_ET_Study2_1,32,4,84,TR,1,4,2,3,TR,1392,1684,292,5,7,0,0,4
Pri_ET_Study2_1,32,4,84,TR,1,4,2,3,BL,1742,2008,266,6,7,0,0,2
Pri_ET_Study2_1,33,2,6,TL,2,4,3,1,TL,200,409,209,1,7,0,0,2
Pri_ET_Study2_1,33,2,6,TL,2,4,3,1,TR,659,867,208,2,7,0,0,4
Pri_ET_Study2_1,33,2,6,TL,2,4,3,1,BR,909,1150,241,3,7,0,0,1
Pri_ET_Study2_1,33,2,6,TL,2,4,3,1,BL,1192,1425,233,4,7,0,0,3
Pri_ET_Study2_1,33,2,6,TL,2,4,3,1,BR,1492,2009,517,5,7,0,0,1
Pri_ET_Study2_1,34,2,61,BL,3,1,2,4,TL,416,658,242,1,7,0,0,3
Pri_ET_Study2_1,34,2,61,BL,3,1,2,4,TR,708,975,267,2,7,0,0,1
Pri_ET_Study2_1,34,2,61,BL,3,1,2,4,TL,1050,1466,416,3,7,0,0,3
Pri_ET_Study2_1,34,2,61,BL,3,1,2,4,BR,1666,1833,167,4,7,0,0,4
Pri_ET_Study2_1,35,2,75,BL,4,1,2,3,TL,317,642,325,1,7,0,0,4
Pri_ET_Study2_1,35,2,75,BL,4,1,2,3,TR,692,942,250,2,7,0,0,1
Pri_ET_Study2_1,35,2,75,BL,4,1,2,3,BR,992,1259,267,3,7,0,0,3
Pri_ET_Study2_1,35,2,75,BL,4,1,2,3,BL,1300,1509,209,4,7,0,0,2
Pri_ET_Study2_1,35,2,75,BL,4,1,2,3,TL,1559,1759,200,5,7,0,0,4
Pri_ET_Study2_1,35,2,75,BL,4,1,2,3,TR,1817,2009,192,6,7,0,0,1
Pri_ET_Study2_1,36,2,95,TR,4,2,3,1,BL,300,666,366,1,7,0,0,3
Pri_ET_Study2_1,36,2,95,TR,4,2,3,1,BR,725,925,200,2,7,0,0,1
Pri_ET_Study2_1,36,2,95,TR,4,2,3,1,BL,975,1333,358,3,7,0,0,3
Pri_ET_Study2_1,36,2,95,TR,4,2,3,1,TR,1500,1741,241,4,7,0,0,2
Pri_ET_Study2_1,36,2,95,TR,4,2,3,1,TL,1791,2000,209,5,7,0,0,4
Pri_ET_Study2_1,37,3,2,TR,1,3,4,2,TL,0,358,358,1,7,0,0,1
Pri_ET_Study2_1,37,3,2,TR,1,3,4,2,TR,408,750,342,2,7,0,0,3
Pri_ET_Study2_1,37,3,2,TR,1,3,4,2,BL,1258,1417,159,3,7,0,0,4
Pri_ET_Study2_1,37,3,2,TR,1,3,4,2,TR,1775,1942,167,4,7,0,0,3
Pri_ET_Study2_1,38,3,3,BR,1,4,2,3,TR,499,699,200,1,7,0,0,4
Pri_ET_Study2_1,38,3,3,BR,1,4,2,3,TL,749,1033,284,2,7,0,0,1
Pri_ET_Study2_1,38,3,3,BR,1,4,2,3,TR,1083,1441,358,3,7,0,0,4
Pri_ET_Study2_1,38,3,3,BR,1,4,2,3,BR,1533,1833,300,4,7,0,0,3
Pri_ET_Study2_1,39,3,27,BR,2,1,4,3,TL,400,567,167,1,7,0,0,2
Pri_ET_Study2_1,39,3,27,BR,2,1,4,3,TR,617,1525,908,2,7,0,0,1
Pri_ET_Study2_1,39,3,27,BR,2,1,4,3,BL,1733,1950,217,3,7,0,0,4
Pri_ET_Study2_1,40,2,58,TL,2,4,1,3,TR,408,592,184,1,7,0,0,4
Pri_ET_Study2_1,40,2,58,TL,2,4,1,3,BR,733,1250,517,2,7,0,0,3
Pri_ET_Study2_1,40,2,58,TL,2,4,1,3,BL,1300,1483,183,3,7,0,0,1
Pri_ET_Study2_1,40,2,58,TL,2,4,1,3,TL,1525,1708,183,4,7,0,0,2
Pri_ET_Study2_1,41,4,13,BR,2,1,3,4,TL,284,434,150,1,7,0,0,2
Pri_ET_Study2_1,41,4,13,BR,2,1,3,4,TR,475,1150,675,2,7,0,0,1
Pri_ET_Study2_1,41,4,13,BR,2,1,3,4,BL,1309,1517,208,3,7,0,0,3
Pri_ET_Study2_1,41,4,13,BR,2,1,3,4,BR,1659,2009,350,4,7,0,0,4
Pri_ET_Study2_1,42,2,155,TR,3,2,1,4,TL,0,300,300,1,7,0,0,3
Pri_ET_Study2_1,42,2,155,TR,3,2,1,4,TR,475,683,208,2,7,0,0,2
Pri_ET_Study2_1,42,2,155,TR,3,2,1,4,BR,858,1033,175,3,7,0,0,4
Pri_ET_Study2_1,42,2,155,TR,3,2,1,4,TL,1250,1450,200,4,7,0,0,3
Pri_ET_Study2_1,42,2,155,TR,3,2,1,4,TR,1500,1908,408,5,7,0,0,2
Pri_ET_Study2_1,43,4,10,BR,2,3,1,4,TL,300,450,150,1,7,0,0,2
Pri_ET_Study2_1,43,4,10,BR,2,3,1,4,TR,491,816,325,2,7,0,0,3
Pri_ET_Study2_1,43,4,10,BR,2,3,1,4,BL,1025,1458,433,3,7,0,0,1
Pri_ET_Study2_1,43,4,10,BR,2,3,1,4,BR,1508,1966,458,4,7,0,0,4
Pri_ET_Study2_1,44,1,1,TL,1,4,3,2,TL,250,559,309,1,7,0,0,1
Pri_ET_Study2_1,44,1,1,TL,1,4,3,2,TR,592,1034,442,2,7,0,0,4
Pri_ET_Study2_1,44,1,1,TL,1,4,3,2,TL,1075,1375,300,3,7,0,0,1
Pri_ET_Study2_1,44,1,1,TL,1,4,3,2,BR,1550,1925,375,4,7,0,0,2
Pri_ET_Study2_1,45,1,46,BL,3,4,1,2,TR,392,558,166,1,7,0,0,4
Pri_ET_Study2_1,45,1,46,BL,3,4,1,2,BR,742,966,224,2,7,0,0,2
Pri_ET_Study2_1,45,1,46,BL,3,4,1,2,BL,1033,1733,700,3,7,0,0,1
Pri_ET_Study2_1,45,1,46,BL,3,4,1,2,BR,1775,2008,233,4,7,0,0,2
Pri_ET_Study2_1,46,2,115,BL,3,4,2,1,TL,234,425,191,1,7,0,0,3
Pri_ET_Study2_1,46,2,115,BL,3,4,2,1,TR,459,759,300,2,7,0,0,4
Pri_ET_Study2_1,46,2,115,BL,3,4,2,1,TL,800,1175,375,3,7,0,0,3
Pri_ET_Study2_1,46,2,115,BL,3,4,2,1,TR,1217,1542,325,4,7,0,0,4
Pri_ET_Study2_1,46,2,115,BL,3,4,2,1,BR,1592,1742,150,5,7,0,0,1
Pri_ET_Study2_1,46,2,115,BL,3,4,2,1,BL,1817,2000,183,6,7,0,0,2
Pri_ET_Study2_1,47,3,98,TR,4,3,1,2,TL,217,442,225,1,7,0,0,4
Pri_ET_Study2_1,47,3,98,TR,4,3,1,2,TR,484,909,425,2,7,0,0,3
Pri_ET_Study2_1,47,3,98,TR,4,3,1,2,TL,959,1642,683,3,7,0,0,4
Pri_ET_Study2_1,47,3,98,TR,4,3,1,2,TR,1692,1917,225,4,7,0,0,3
Pri_ET_Study2_1,48,3,111,BR,4,2,1,3,TR,300,584,284,1,7,0,0,2
Pri_ET_Study2_1,48,3,111,BR,4,2,1,3,BR,759,1009,250,2,7,0,0,3
Pri_ET_Study2_1,48,3,111,BR,4,2,1,3,BL,1159,1325,166,3,7,0,0,1
Pri_ET_Study2_1,48,3,111,BR,4,2,1,3,TL,1367,1759,392,4,7,0,0,4
Pri_ET_Study2_1,48,3,111,BR,4,2,1,3,TR,1792,2009,217,5,7,0,0,2
Pri_ET_Study2_1,49,4,7,TL,4,1,2,3,TR,259,609,350,1,7,0,0,1
Pri_ET_Study2_1,49,4,7,TL,4,1,2,3,TL,642,892,250,2,7,0,0,4
Pri_ET_Study2_1,49,4,7,TL,4,1,2,3,TR,942,1292,350,3,7,0,0,1
Pri_ET_Study2_1,49,4,7,TL,4,1,2,3,BL,1617,2008,391,4,7,0,0,2
Pri_ET_Study2_1,50,3,4,TL,3,2,1,4,TL,0,667,667,1,7,0,0,3
Pri_ET_Study2_1,50,3,4,TL,3,2,1,4,TR,717,942,225,2,7,0,0,2
Pri_ET_Study2_1,50,3,4,TL,3,2,1,4,TL,983,1750,767,3,7,0,0,3
Pri_ET_Study2_1,51,2,12,BL,1,4,2,3,TL,233,483,250,1,7,0,0,1
Pri_ET_Study2_1,51,2,12,BL,1,4,2,3,TR,633,992,359,2,7,0,0,4
Pri_ET_Study2_1,51,2,12,BL,1,4,2,3,TL,1033,1250,217,3,7,0,0,1
Pri_ET_Study2_1,51,2,12,BL,1,4,2,3,BR,1475,1841,366,4,7,0,0,3
Pri_ET_Study2_1,52,4,0,TL,4,2,1,3,TL,567,1609,1042,1,7,0,0,4
Pri_ET_Study2_1,52,4,0,TL,4,2,1,3,TR,1659,2009,350,2,7,0,0,2
Pri_ET_Study2_1,53,3,25,TR,1,3,2,4,BR,0,325,325,1,7,0,0,4
Pri_ET_Study2_1,53,3,25,TR,1,3,2,4,TL,642,1100,458,2,7,0,0,1
Pri_ET_Study2_1,53,3,25,TR,1,3,2,4,BL,1142,1625,483,3,7,0,0,2
Pri_ET_Study2_1,53,3,25,TR,1,3,2,4,TL,1667,1883,216,4,7,0,0,1
Pri_ET_Study2_1,54,2,19,BL,4,3,2,1,TL,184,417,233,1,7,0,0,4
Pri_ET_Study2_1,54,2,19,BL,4,3,2,1,BR,775,967,192,2,7,0,0,1
Pri_ET_Study2_1,54,2,19,BL,4,3,2,1,TL,1117,1325,208,3,7,0,0,4
Pri_ET_Study2_1,54,2,19,BL,4,3,2,1,BL,1375,1600,225,4,7,0,0,2
Pri_ET_Study2_1,54,2,19,BL,4,3,2,1,TL,1759,1909,150,5,7,0,0,4
Pri_ET_Study2_1,55,4,16,BR,1,3,2,4,TR,250,475,225,1,7,0,0,3
Pri_ET_Study2_1,55,4,16,BR,1,3,2,4,BR,641,1100,459,2,7,0,0,4
Pri_ET_Study2_1,55,4,16,BR,1,3,2,4,TR,1141,1575,434,3,7,0,0,3
Pri_ET_Study2_1,55,4,16,BR,1,3,2,4,TL,1608,1825,217,4,7,0,0,1
Pri_ET_Study2_1,56,1,68,BL,4,3,1,2,TL,250,442,192,1,7,0,0,4
Pri_ET_Study2_1,56,1,68,BL,4,3,1,2,TR,483,908,425,2,7,0,0,3
Pri_ET_Study2_1,56,1,68,BL,4,3,1,2,BL,967,1300,333,3,7,0,0,1
Pri_ET_Study2_1,56,1,68,BL,4,3,1,2,BR,1342,1592,250,4,7,0,0,2
Pri_ET_Study2_1,56,1,68,BL,4,3,1,2,TL,1767,2008,241,5,7,0,0,4
Pri_ET_Study2_1,57,3,117,TR,2,3,1,4,BR,659,859,200,1,7,0,0,4
