device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,trial,trial_phase,pp_TS
1015432363,14177188917,"(0.535909116268158, 0.4844038188457489)","(14.096893310546875, 141.82969665527344, -5.559999942779541)",1,3.75628662109375,1,"(-61.290592193603516, -2.4930472373962402, 641.0110473632812)","(0.6365935802459717, 0.505556046962738, 0.4700368344783783)",1,"(0.5425647497177124, 0.47867855429649353)","(17.56488037109375, 143.50775146484375, -5.559999942779541)",1,3.6334228515625,1,"(5.2235283851623535, -3.4303605556488037, 641.5172119140625)","(0.4883679151535034, 0.5076389312744141, 0.4717240333557129)",1,1,1,14176.6330992
1015440696,14177197248,"(0.5398333668708801, 0.48932868242263794)","(16.14166259765625, 140.38623046875, -5.559999942779541)",1,nan,0,"(-61.22344970703125, -2.503258466720581, 640.888427734375)","(0.6364700794219971, 0.5055798888206482, 0.46962809562683105)",1,"(0.5448850989341736, 0.484160840511322)","(18.77392578125, 141.90090942382812, -5.559999942779541)",1,nan,0,"(5.279496669769287, -3.4746146202087402, 641.4855346679688)","(0.4882426857948303, 0.5077378749847412, 0.4716184437274933)",1,1,1,14176.6330992
1015449029,14177205578,"(0.5415463447570801, 0.4990871846675873)","(17.03424072265625, 137.5260467529297, -5.559999942779541)",1,nan,0,"(-61.2352180480957, -2.5319089889526367, 640.7994995117188)","(0.636515200138092, 0.5056445598602295, 0.46933165192604065)",1,"(0.5384236574172974, 0.4931349456310272)","(15.407135009765625, 139.2706298828125, -5.559999942779541)",1,nan,0,"(5.283377170562744, -3.4695675373077393, 641.5570678710938)","(0.48823535442352295, 0.5077257752418518, 0.47185689210891724)",1,1,1,14176.6330992
1015457360,14177213907,"(0.5422210097312927, 0.49948155879974365)","(17.385772705078125, 137.4104461669922, -5.559999942779541)",1,3.7403564453125,1,"(-61.15731430053711, -2.533627986907959, 640.7583618164062)","(0.6363502740859985, 0.5056487321853638, 0.46919453144073486)",1,"(0.537662148475647, 0.49233484268188477)","(15.010345458984375, 139.505126953125, -5.559999942779541)",1,3.628631591796875,1,"(5.364547252655029, -3.482692241668701, 641.68994140625)","(0.48805710673332214, 0.5077533721923828, 0.47229981422424316)",1,1,1,14176.6330992
1015465702,14177222247,"(0.5405911803245544, 0.4977084696292877)","(16.536529541015625, 137.93014526367188, -5.559999942779541)",1,nan,0,"(-61.07371520996094, -2.522434711456299, 640.6319580078125)","(0.6361907720565796, 0.5056248903274536, 0.4687731862068176)",1,"(0.5395683646202087, 0.48011332750320435)","(16.00360107421875, 143.08721923828125, -5.559999942779541)",1,nan,0,"(5.4283905029296875, -3.5223731994628906, 641.7435302734375)","(0.487915962934494, 0.5078410506248474, 0.4724784195423126)",1,1,1,14176.6330992
1015474027,14177230569,"(0.5411863327026367, 0.4894823431968689)","(16.846649169921875, 140.3411865234375, -5.559999942779541)",1,nan,0,"(-61.08849334716797, -2.5361106395721436, 640.5543212890625)","(0.6362402439117432, 0.5056560635566711, 0.46851441264152527)",1,"(0.5395683646202087, 0.48011332750320435)","(16.00360107421875, 143.08721923828125, -5.559999942779541)",1,nan,0,"(5.435245513916016, -3.507700204849243, 641.8596801757812)","(0.4879029095172882, 0.5078070163726807, 0.47286561131477356)",1,1,1,14176.6330992
1015482368,14177238910,"(0.5395495295524597, 0.49051547050476074)","(15.9937744140625, 140.03839111328125, -5.559999942779541)",1,3.749359130859375,1,"(-61.008304595947266, -2.538015604019165, 640.5069580078125)","(0.6360714435577393, 0.5056607127189636, 0.46835651993751526)",1,"(0.5377459526062012, 0.47886717319488525)","(15.053985595703125, 143.4524688720703, -5.559999942779541)",1,3.6705322265625,1,"(5.50416374206543, -3.5047061443328857, 641.9921875)","(0.4877520501613617, 0.5077987313270569, 0.4733072817325592)",1,1,1,14176.6330992
1015490701,14177247243,"(0.536754846572876, 0.49496251344680786)","(14.537567138671875, 138.73497009277344, -5.559999942779541)",1,nan,0,"(-60.95187759399414, -2.519381046295166, 640.3672485351562)","(0.6359752416610718, 0.5056204199790955, 0.46789082884788513)",1,"(0.5329545736312866, 0.5000603795051575)","(12.557403564453125, 137.2407989501953, -5.559999942779541)",1,nan,0,"(5.541826248168945, -3.543813943862915, 642.0265502929688)","(0.4876689016819, 0.5078853368759155, 0.4734218418598175)",1,1,1,14176.6330992
1015499039,14177255582,"(0.5369473695755005, 0.4939574897289276)","(14.63787841796875, 139.029541015625, -5.559999942779541)",1,nan,0,"(-60.971797943115234, -2.548931121826172, 640.2822265625)","(0.6360377669334412, 0.5056870579719543, 0.46760740876197815)",1,"(0.5406306982040405, 0.49599188566207886)","(16.55712890625, 138.43325805664062, -5.559999942779541)",1,nan,0,"(5.512837886810303, -3.5574445724487305, 642.1190185546875)","(0.48773515224456787, 0.5079145431518555, 0.47373005747795105)",1,1,1,14176.6330992
1015507368,14177263911,"(0.5337722301483154, 0.5219520926475525)","(12.983428955078125, 130.82440185546875, -5.559999942779541)",1,3.743072509765625,1,"(-60.921592712402344, -2.5876052379608154, 640.2286987304688)","(0.6359370946884155, 0.5057738423347473, 0.467428982257843)",1,"(0.5451737642288208, 0.4957764446735382)","(18.924346923828125, 138.4964141845703, -5.559999942779541)",1,3.6329345703125,1,"(5.548627853393555, -3.626784086227417, 642.213134765625)","(0.4876573383808136, 0.5080676078796387, 0.4740437865257263)",1,1,1,14176.6330992
1015515688,14177272232,"(0.5327215790748596, 0.522896409034729)","(12.43597412109375, 130.54762268066406, -5.559999942779541)",1,nan,0,"(-60.85122299194336, -2.7017133235931396, 639.6912231445312)","(0.6358941793441772, 0.5060335397720337, 0.4656374156475067)",1,"(0.5419843792915344, 0.5044354200363159)","(17.262481689453125, 135.95849609375, -5.559999942779541)",1,nan,0,"(5.493072509765625, -3.7521908283233643, 642.0107421875)","(0.48777708411216736, 0.5083491802215576, 0.47336915135383606)",1,1,1,14176.6330992
1015524068,14177280612,"(0.5108887553215027, 0.6105565428733826)","(1.059722900390625, 104.85470581054688, -5.559999942779541)",1,nan,0,"(-60.8795166015625, -2.8211302757263184, 639.5305786132812)","(0.6359915137290955, 0.506301760673523, 0.4651019275188446)",1,"(0.532108724117279, 0.5388504266738892)","(12.11663818359375, 125.87155151367188, -5.559999942779541)",1,nan,0,"(5.326122283935547, -3.8584184646606445, 641.9517822265625)","(0.48814746737480164, 0.5085863471031189, 0.4731726050376892)",1,1,1,14176.6330992
1015532356,14177288900,"(0.5028740763664246, 0.616466224193573)","(-3.116424560546875, 103.12258911132812, -5.559999942779541)",1,3.700042724609375,1,"(-60.84029006958008, -2.914289951324463, 639.4506225585938)","(0.6359208822250366, 0.5065106749534607, 0.46483540534973145)",1,"(0.5097139477729797, 0.6424301862716675)","(0.44757080078125, 95.51263427734375, -5.559999942779541)",1,3.6942901611328125,1,"(5.3069305419921875, -3.986701250076294, 641.94873046875)","(0.4881901443004608, 0.508871853351593, 0.473162442445755)",1,1,1,14176.6330992
1015540686,14177297230,"(0.5005499720573425, 0.632116436958313)","(-4.327423095703125, 98.53556823730469, -5.559999942779541)",1,nan,0,"(-60.79698944091797, -2.972543954849243, 639.32958984375)","(0.6358498930931091, 0.5066421031951904, 0.4644319713115692)",1,"(0.5123831033706665, 0.6536177396774292)","(1.83837890625, 92.23359680175781, -5.559999942779541)",1,nan,0,"(5.317026138305664, -4.063156604766846, 641.7979125976562)","(0.48816487193107605, 0.5090441107749939, 0.472659707069397)",1,1,1,14176.6330992
1015549018,14177305562,"(0.5008202195167542, 0.6449770331382751)","(-4.18658447265625, 94.76615905761719, -5.559999942779541)",1,nan,0,"(-60.8342399597168, -3.0029184818267822, 639.25390625)","(0.6359491944313049, 0.5067107677459717, 0.4641796946525574)",1,"(0.5155103206634521, 0.679044246673584)","(3.467864990234375, 84.78115844726562, -5.559999942779541)",1,nan,0,"(5.294022560119629, -4.09454870223999, 641.6527099609375)","(0.4882134199142456, 0.5091160535812378, 0.4721756875514984)",1,1,1,14176.6330992
1015557390,14177313933,"(0.5044236183166504, 0.6455216407775879)","(-2.308990478515625, 94.60653686523438, -5.559999942779541)",1,3.746246337890625,1,"(-60.816287994384766, -3.016916513442993, 639.2537841796875)","(0.6359090805053711, 0.5067420601844788, 0.46417927742004395)",1,"(0.5155911445617676, 0.6791286468505859)","(3.509979248046875, 84.75642395019531, -5.559999942779541)",1,3.691009521484375,1,"(5.3603129386901855, -4.130129814147949, 641.5137939453125)","(0.488063246011734, 0.5091972947120667, 0.4717126488685608)",1,1,1,14176.6330992
1015565695,14177322239,"(0.5014216303825378, 0.6442517042160034)","(-3.87322998046875, 94.978759765625, -5.559999942779541)",1,nan,0,"(-60.80128479003906, -3.0112881660461426, 639.199462890625)","(0.6358871459960938, 0.5067300200462341, 0.4639981985092163)",1,"(0.5156894326210022, 0.6410452127456665)","(3.561187744140625, 95.91856384277344, -5.559999942779541)",1,nan,0,"(5.401045322418213, -4.148815631866455, 641.4509887695312)","(0.48797136545181274, 0.5092397928237915, 0.47150328755378723)",1,1,1,14176.6330992
1015574017,14177330560,"(0.5026080012321472, 0.6335746645927429)","(-3.25506591796875, 98.10816955566406, -5.559999942779541)",1,nan,0,"(-60.845069885253906, -3.05531907081604, 639.2015380859375)","(0.6359845399856567, 0.5068284273147583, 0.46400511264801025)",1,"(0.5170905590057373, 0.6334783434867859)","(4.291259765625, 98.13639831542969, -5.559999942779541)",1,nan,0,"(5.337461471557617, -4.215994358062744, 641.4221801757812)","(0.4881124496459961, 0.5093898177146912, 0.4714072644710541)",1,1,1,14176.6330992
